Layer	Entropy Mean	Entropy CI	Entropy Half-Width	Sparsity Mean	Sparsity CI	Sparsity Half-Width	Distance Mean	Distance CI	Distance Half-Width
0	3.200	[3.174, 3.221]	±0.024	0.252	[0.252, 0.252]	±0.000	16.753	[16.660, 16.819]	±0.079
1	3.281	[3.258, 3.300]	±0.021	0.258	[0.258, 0.259]	±0.000	17.547	[17.460, 17.611]	±0.075
2	3.368	[3.343, 3.397]	±0.027	0.265	[0.265, 0.265]	±0.000	18.345	[18.264, 18.423]	±0.079
3	3.432	[3.413, 3.461]	±0.024	0.271	[0.271, 0.272]	±0.000	19.094	[19.032, 19.188]	±0.078
4	3.504	[3.485, 3.534]	±0.024	0.278	[0.277, 0.278]	±0.000	19.856	[19.787, 19.940]	±0.076
5	3.574	[3.553, 3.592]	±0.020	0.284	[0.284, 0.284]	±0.000	20.607	[20.531, 20.679]	±0.074
6	3.650	[3.634, 3.672]	±0.019	0.290	[0.290, 0.291]	±0.000	21.381	[21.333, 21.469]	±0.068
7	3.710	[3.694, 3.727]	±0.017	0.297	[0.297, 0.297]	±0.000	22.095	[22.039, 22.141]	±0.051
8	3.793	[3.774, 3.819]	±0.022	0.303	[0.303, 0.304]	±0.000	22.908	[22.837, 22.989]	±0.076
9	3.874	[3.854, 3.897]	±0.022	0.309	[0.309, 0.310]	±0.000	23.712	[23.639, 23.802]	±0.081
10	3.955	[3.941, 3.971]	±0.015	0.316	[0.315, 0.316]	±0.000	24.486	[24.443, 24.545]	±0.051
11	4.036	[4.017, 4.060]	±0.022	0.323	[0.322, 0.323]	±0.000	25.319	[25.257, 25.424]	±0.084
