head_id,layer,head,cluster
0,0,0,0
1,0,1,1
2,0,2,3
3,0,3,0
4,0,4,0
5,0,5,1
6,0,6,3
7,0,7,0
8,1,0,2
9,1,1,1
10,1,2,3
11,1,3,0
12,1,4,0
13,1,5,1
14,1,6,3
15,1,7,0
16,2,0,2
17,2,1,1
18,2,2,3
19,2,3,0
20,2,4,0
21,2,5,1
22,2,6,3
23,2,7,0
24,3,0,2
25,3,1,1
26,3,2,3
27,3,3,0
28,3,4,2
29,3,5,1
30,3,6,3
31,3,7,0
32,4,0,2
33,4,1,1
34,4,2,3
35,4,3,0
36,4,4,2
37,4,5,1
38,4,6,3
39,4,7,0
40,5,0,2
41,5,1,1
42,5,2,3
43,5,3,0
44,5,4,2
45,5,5,1
46,5,6,3
47,5,7,0
48,6,0,2
49,6,1,1
50,6,2,3
51,6,3,0
52,6,4,2
53,6,5,1
54,6,6,3
55,6,7,0
56,7,0,2
57,7,1,1
58,7,2,3
59,7,3,0
60,7,4,2
61,7,5,1
62,7,6,3
63,7,7,0
64,8,0,2
65,8,1,1
66,8,2,3
67,8,3,0
68,8,4,2
69,8,5,1
70,8,6,3
71,8,7,0
72,9,0,2
73,9,1,1
74,9,2,3
75,9,3,0
76,9,4,2
77,9,5,1
78,9,6,3
79,9,7,0
80,10,0,2
81,10,1,1
82,10,2,3
83,10,3,0
84,10,4,2
85,10,5,1
86,10,6,3
87,10,7,0
88,11,0,2
89,11,1,1
90,11,2,3
91,11,3,0
92,11,4,2
93,11,5,1
94,11,6,3
95,11,7,0
