	head	head	entropy	entropy	sparsity	sparsity	distance	distance
	mean	std	mean	std	mean	std	mean	std
layer								
0	3.5	2.449	3.209	0.652	0.938	0.045	69.038	73.987
1	3.5	2.449	3.123	0.585	0.946	0.033	70.494	75.037
2	3.5	2.449	3.126	0.652	0.944	0.035	71.169	75.119
3	3.5	2.449	3.045	0.613	0.95	0.03	71.286	75.403
4	3.5	2.449	3.011	0.747	0.947	0.037	75.099	78.196
5	3.5	2.449	3.008	0.594	0.952	0.025	72.154	75.596
6	3.5	2.449	3.018	0.773	0.948	0.03	76.02	77.585
7	3.5	2.449	2.919	0.79	0.952	0.029	75.188	77.616
8	3.5	2.449	2.789	0.834	0.957	0.025	75.909	78.342
9	3.5	2.449	2.87	0.974	0.949	0.035	75.083	76.344
10	3.5	2.449	2.827	0.972	0.951	0.034	76.981	77.76
11	3.5	2.449	2.766	1.016	0.952	0.033	76.288	77.749
