Layer	Entropy Mean	Entropy CI	Entropy Half-Width	Sparsity Mean	Sparsity CI	Sparsity Half-Width	Distance Mean	Distance CI	Distance Half-Width
0	3.492	[3.476, 3.511]	±0.017	0.948	[0.946, 0.949]	±0.002	145.738	[145.254, 145.995]	±0.371
1	3.455	[3.433, 3.479]	±0.023	0.950	[0.949, 0.952]	±0.001	145.307	[144.431, 145.970]	±0.769
2	3.419	[3.395, 3.447]	±0.026	0.954	[0.953, 0.955]	±0.001	148.664	[147.815, 149.146]	±0.666
3	3.364	[3.351, 3.380]	±0.014	0.959	[0.957, 0.960]	±0.001	151.969	[151.555, 152.567]	±0.506
4	3.347	[3.330, 3.371]	±0.021	0.959	[0.959, 0.960]	±0.001	153.618	[152.864, 154.321]	±0.729
5	3.300	[3.278, 3.321]	±0.021	0.962	[0.962, 0.963]	±0.001	155.285	[154.624, 155.902]	±0.639
6	3.248	[3.222, 3.264]	±0.021	0.963	[0.963, 0.965]	±0.001	155.494	[155.056, 155.984]	±0.464
7	3.211	[3.180, 3.238]	±0.029	0.964	[0.963, 0.965]	±0.001	155.984	[155.590, 156.358]	±0.384
8	3.153	[3.134, 3.169]	±0.017	0.965	[0.964, 0.966]	±0.001	156.010	[155.096, 156.673]	±0.788
9	3.103	[3.077, 3.130]	±0.027	0.966	[0.965, 0.967]	±0.001	156.727	[156.120, 157.283]	±0.582
10	3.074	[3.064, 3.088]	±0.012	0.966	[0.965, 0.967]	±0.001	156.891	[156.316, 157.293]	±0.488
11	3.031	[3.015, 3.046]	±0.016	0.966	[0.965, 0.967]	±0.001	157.978	[157.344, 158.580]	±0.618
