layer	mean_entropy_norm	std_entropy_norm	min_entropy_norm	max_entropy_norm	mean_sparsity	std_sparsity	mean_distance	std_distance
0	0.577	0.120	0.457	0.774	0.938	0.045	69.873	74.534
1	0.565	0.114	0.457	0.774	0.943	0.042	67.706	73.603
2	0.577	0.123	0.422	0.774	0.938	0.045	72.634	75.973
3	0.551	0.114	0.418	0.729	0.948	0.032	71.951	75.871
4	0.532	0.108	0.379	0.677	0.954	0.025	73.908	77.558
5	0.551	0.117	0.420	0.693	0.949	0.029	73.301	76.091
6	0.516	0.132	0.324	0.693	0.955	0.027	72.633	76.622
7	0.520	0.135	0.321	0.653	0.954	0.025	75.086	77.422
8	0.511	0.167	0.260	0.693	0.952	0.031	74.921	77.098
9	0.505	0.184	0.264	0.686	0.951	0.035	74.130	75.956
10	0.502	0.167	0.262	0.678	0.954	0.030	75.204	77.098
11	0.478	0.228	0.158	0.714	0.951	0.038	75.621	76.980
